[2026-06-24 17:48:58] Setting loaded & applied: key='quiz_name', value='TechnoQuiz'
[2026-06-24 17:48:58] Setting loaded & applied: key='org_name', value='TechnoHacks'
[2026-06-24 17:48:58] Setting loaded & applied: key='quiz_logo', value='assets/logo.png'
[2026-06-24 17:48:58] Setting loaded & applied: key='custom_colors', value='#4F46E5'
[2026-06-24 17:48:58] Setting loaded & applied: key='custom_fonts', value='Inter, sans-serif'
[2026-06-24 17:48:58] Setting loaded & applied: key='custom_bg', value=''
[2026-06-24 17:48:58] Setting loaded & applied: key='dark_theme', value='0'
[2026-06-24 17:48:58] Setting loaded & applied: key='ai_q_gen', value='1'
[2026-06-24 17:48:59] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:48:59] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:08] Setting loaded & applied: key='quiz_name', value='TechnoQuiz'
[2026-06-24 17:49:08] Setting loaded & applied: key='org_name', value='TechnoHacks'
[2026-06-24 17:49:08] Setting loaded & applied: key='quiz_logo', value='assets/logo.png'
[2026-06-24 17:49:08] Setting loaded & applied: key='custom_colors', value='#4F46E5'
[2026-06-24 17:49:08] Setting loaded & applied: key='custom_fonts', value='Inter, sans-serif'
[2026-06-24 17:49:09] Setting loaded & applied: key='custom_bg', value=''
[2026-06-24 17:49:09] Setting loaded & applied: key='dark_theme', value='0'
[2026-06-24 17:49:09] Setting loaded & applied: key='ai_q_gen', value='1'
[2026-06-24 17:49:09] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:09] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:39] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:41] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:49] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:49] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:50] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:50] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:51] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:51] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:52] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 17:49:52] Setting loaded & applied: key='admin_timeout', value='60'
